FECH,ADUA,PAIS,COD_PAI4,COD_SAL1,COD_SAL,DPTO2,VIA,BANDERA,REGIM,MODAD,FINALID,CER_ORI1,SISESP,POSAR,DPTO1,UNID,CODUNI2,CANTI,PBK,PNK,FOBDOL,FOBPES,AGRENA,FLETES,SEGURO,OTROSG
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,8,2,6204530000,11,11,U,6,2,2,86,343486,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,8,2,6204620000,11,11,U,98,34,31,1302,5205697,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,8,2,6204630000,11,11,U,94,30,28,1166,4659526,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,8,2,6206300000,11,11,U,6,2,2,68,272006,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,8,2,6206400000,11,11,U,183,46,41,1748,6990008,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,8,2,6212100000,11,11,U,578,69,54,6174,25086697,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,8,2,6212300000,11,11,U,123,23,18,2055,8351302,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,8,2,6815990000,76,33,KG,34,45,34,504,2046227,0.0,21.18,1.32,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,8,2,8419509000,11,11,U,1,26,14,1755,6855200,0.0,800.0,8.77,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,8,2,8419509000,76,11,U,3,49,37,2122,8623710,0.0,89.24,5.55,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,8,2,8421299000,76,11,U,664,657,494,5302,21545235,0.0,222.96,13.86,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,8,2,8421999000,76,11,U,104,38,29,2305,9364501,0.0,96.91,6.03,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,8,2,8481300000,76,11,U,36,10,8,1603,6513891,0.0,67.41,4.19,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,8,2,8481802000,76,11,U,42,53,40,1508,6128075,0.0,63.42,3.94,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,8,2,8481804000,76,11,U,114,155,117,4696,19083042,0.0,197.48,12.28,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,8,2,8481808000,76,11,U,86,48,36,5746,23346522,0.0,241.6,15.02,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,8,2,8481809900,76,11,U,358,140,105,10612,43122124,0.0,446.25,27.75,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,8,2,8481909000,76,11,U,818,39,29,14475,58816323,0.0,608.66,37.84,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,8,2,8505901000,76,33,KG,31,41,31,2455,9975671,0.0,103.23,6.42,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,8,2,8512209000,13,11,U,10,11,11,1650,6620229,0.0,45.02,16.56,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,8,2,8518500000,11,11,U,60,174,162,24096,97788586,0.0,928.98,180.44,0.0
