FECH,ADUA,PAIS,COD_PAI4,COD_SAL1,COD_SAL,DPTO2,VIA,BANDERA,REGIM,MODAD,FINALID,CER_ORI1,SISESP,POSAR,DPTO1,UNID,CODUNI2,CANTI,PBK,PNK,FOBDOL,FOBPES,AGRENA,FLETES,SEGURO,OTROSG
2309,3,105,BRA,3,BOG,11,9,249,1,198,1,8,2,3920620090,11,33,KG,71,85,71,1866,7561229,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,11,9,249,1,198,1,8,2,3920911000,11,33,KG,400,443,400,9847,38904630,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,11,9,249,1,198,1,8,2,3920990000,11,33,KG,110,131,110,3284,13309068,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,11,9,249,1,198,1,8,2,8443990000,11,11,U,26,28,28,3818,15513096,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,11,9,249,1,199,1,8,1,3921120000,11,33,KG,204,225,204,1526,6027296,1171.48,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,11,9,249,1,199,1,8,2,1211909000,11,33,KG,0,0,0,2514,9810868,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,11,9,249,1,199,1,8,2,3004902900,11,33,KG,60,66,60,33635,132816104,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,11,9,249,1,104,2,8,2,3923299000,11,11,U,100,1,1,2,7995,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,11,9,249,1,104,2,8,2,4016930000,8,11,U,20,0,0,139,562776,0.0,9.8,0.0,0.0
2309,3,105,BRA,3,BOG,11,9,249,1,104,2,8,2,4816900000,11,33,KG,140,147,140,1613,6397766,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,11,9,249,1,104,2,8,2,4821100000,11,33,KG,66,69,66,523,2073556,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,11,9,249,1,104,2,8,2,4821900000,11,33,KG,7,7,7,109,431175,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,11,9,249,1,104,2,8,2,4908909000,11,33,KG,8,8,8,117,463985,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,11,9,249,1,104,2,8,2,7304230000,11,33,KG,147,168,147,1714,6731903,0.0,595.5,0.0,0.0
2309,3,105,BRA,3,BOG,11,9,249,1,104,2,8,2,8413919000,8,11,U,10,105,96,4049,16408289,0.0,285.62,0.0,0.0
2309,3,105,BRA,3,BOG,11,9,249,1,104,2,8,2,8544601000,8,33,KG,830,906,830,41500,168180532,0.0,2927.58,0.0,0.0
2309,3,105,BRA,3,BOG,11,9,249,1,104,2,8,2,9018909090,11,11,U,16,6,5,515,2059756,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,11,9,249,1,198,2,8,2,603900000,11,11,U,35,6,6,121,481300,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,11,9,249,1,199,2,8,2,8413702100,8,11,U,1,112,86,2953,11668568,0.0,192.15,0.0,0.0
2309,3,105,BRA,3,BOG,11,9,249,1,199,2,8,2,8483609000,8,11,U,13,9,7,3238,12792486,0.0,210.66,0.0,0.0
2309,3,105,BRA,3,BOG,11,9,249,5,401,1,8,2,3920990000,11,33,KG,458,492,458,43520,176365325,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,17,1,211,1,198,1,8,2,8708100000,5,11,U,1248,162,112,7401,29454065,0.0,861.12,0.0,0.0
2309,3,105,BRA,3,BOG,17,1,211,1,198,1,8,2,8708999900,25,11,U,3000,605,585,11070,43252815,0.0,4470.0,0.0,0.0
2309,3,105,BRA,3,BOG,23,9,169,1,198,1,8,2,510001000,23,33,KG,0,0,0,53045,208376045,0.0,132.26,463.63,0.0
2309,3,105,BRA,3,BOG,25,0,580,1,198,1,5,2,603110000,25,11,U,57750,853,775,4736,19242041,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,25,0,580,1,198,1,8,2,603110000,25,11,U,76475,2493,1169,26934,108069511,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,25,0,580,1,198,1,8,2,804200000,25,33,KG,60,69,60,190,750675,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,25,0,580,1,198,1,8,2,810901010,25,33,KG,572,663,572,2421,9558959,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,25,0,580,1,198,1,8,2,810904000,25,33,KG,3213,3733,3213,13077,51739302,0.0,484.31,0.0,0.0
2309,3,105,BRA,3,BOG,25,0,580,1,198,1,8,2,810905000,25,33,KG,216,268,216,925,3709736,0.0,194.09,0.0,0.0
2309,3,105,BRA,3,BOG,25,0,580,1,198,1,8,2,810909020,25,33,KG,75,86,75,258,1019337,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,25,1,211,1,198,1,8,2,2816100000,5,33,KG,23,37,23,300,1184120,0.0,952.36,0.0,0.0
2309,3,105,BRA,3,BOG,25,1,211,1,198,1,8,2,3206110000,5,33,KG,400,512,400,16160,66243072,0.0,2372.0,0.0,0.0
2309,3,105,BRA,3,BOG,25,1,211,1,198,1,8,2,7326909000,11,11,U,10,15,10,948,3698047,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,25,1,211,1,198,1,8,2,8471609000,11,11,U,6,30,20,1866,7282608,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,25,1,211,1,198,1,8,2,8504501000,11,11,U,62,56,38,3506,13680354,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,25,1,211,1,198,1,8,2,8531800000,11,11,U,1000,18,12,1130,4409870,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,25,1,211,1,198,1,8,2,8536209000,11,11,U,100,6,4,389,1518088,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,25,1,211,1,198,1,8,2,8536499000,11,11,U,43,19,13,1211,4725508,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,25,1,211,1,198,1,8,2,8536501990,11,11,U,2821,433,296,27204,106163488,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,25,1,211,1,198,1,8,2,8536509000,11,11,U,41,22,15,1387,5411496,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,25,1,211,1,198,1,8,2,8536901000,11,11,U,149,123,84,7757,30271886,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,25,1,211,1,198,1,8,2,8536909000,11,11,U,4,2,1,107,418821,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,25,1,211,1,198,1,8,2,8538900000,11,11,U,2665,428,292,26868,104853250,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,25,1,211,1,198,1,8,2,8538900000,25,11,U,10330,2912,1988,183242,715108961,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,25,1,211,1,198,1,8,2,8708100000,25,11,U,1850,217,149,11615,46217534,0.0,1398.95,5.73,0.0
2309,3,105,BRA,3,BOG,25,1,211,1,198,1,8,2,8708809090,25,11,U,5,15,10,318,1247478,0.0,545.89,30.13,0.0
2309,3,105,BRA,3,BOG,25,1,211,1,198,1,8,2,8708910090,25,11,U,1,2,1,109,429373,0.0,102.83,4.14,0.0
2309,3,105,BRA,3,BOG,25,1,211,1,198,1,8,2,9025809000,11,11,U,5,12,8,737,2875001,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,25,1,211,1,198,1,8,2,9032899000,11,11,U,32,177,121,11145,43491935,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,25,3,493,1,198,1,8,2,9403990000,11,11,U,1,172,162,940,3692919,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,25,9,249,1,198,1,5,2,603110000,25,11,U,80950,1205,1095,13276,53800711,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,25,9,249,1,198,1,8,2,603110000,25,11,U,20200,536,524,7276,28725836,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,25,9,249,1,198,1,8,2,810901010,25,33,KG,304,411,304,1596,6403567,0.0,751.17,0.0,0.0
2309,3,105,BRA,3,BOG,25,9,249,1,198,1,8,2,810904000,25,33,KG,1032,1396,1032,4610,18494914,0.0,2169.55,0.0,0.0
2309,3,105,BRA,3,BOG,25,9,249,1,198,1,8,2,810905000,25,33,KG,1584,2143,1584,7256,29114563,0.0,3415.28,0.0,0.0
2309,3,105,BRA,3,BOG,25,9,249,1,198,1,8,2,3004902900,25,33,KG,40,44,40,47156,184029737,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,25,9,249,1,198,1,8,2,8413701100,25,11,U,1,846,310,13386,52857298,0.0,3784.0,0.0,0.0
2309,3,105,BRA,3,BOG,25,9,249,1,198,1,8,2,8543709000,25,11,U,5,2,1,1060,4186412,0.0,263.12,17.84,0.0
2309,3,105,BRA,3,BOG,25,9,249,1,198,1,8,2,8708100000,25,11,U,9,2,1,128,507171,0.0,31.88,2.16,0.0
2309,3,105,BRA,3,BOG,66,9,249,1,198,1,8,2,4911990000,66,33,KG,241,266,241,8879,35623212,0.0,1523.0,0.0,0.0
